name,party,constituency,father_name,date_of_birth,gender,address
Samuel Parsons,Demo Party,Constituency1,Brian Crane,1982-08-14,O,USS Anderson FPO AA 68377
Dylan King,Demo Party,Constituency1,Tina Medina,1972-02-11,F,"803 David Curve Cherylland, IN 76998"
Howard Conrad,Demo Party,Constituency1,Patrick Miller,1967-06-23,F,"118 Wade Village Welchberg, CO 87993"
April Tran,Demo Party,Constituency1,Ryan Coleman,1961-10-16,F,"5155 Andre Extension Suite 288 North Mia, VI 16505"
Jacqueline Rojas,Demo Party,Constituency1,Brenda Williams,1948-08-07,M,"215 Elliott Mission Apt. 827 East Nicoletown, ME 62964"
Timothy Cochran,Demo Party,Constituency1,Lori Adkins,1962-11-18,M,"46776 Robert Ridge South Chad, CA 37974"
Michael Scott,Demo Party,Constituency1,Robin Griffin,1984-06-22,M,"24262 Campbell Vista Port Jeremychester, GU 76622"
Joy Owens,Demo Party,Constituency1,Jennifer Williams,1976-10-31,M,"04512 Curtis Village Murphybury, NM 45525"
Amy Galvan,Demo Party,Constituency1,William Ramirez,1969-09-13,F,"2615 Maurice Turnpike New Nicholasshire, PW 62819"
Sandra Michael,Demo Party,Constituency1,Christopher Beard,1967-07-06,M,"9732 Richards Brooks Apt. 717 North Peterstad, VT 39538"
