first_name,last_name,voter_id,email,date_of_birth,gender,state,constituency,mobile_number,address_line1,city,pincode
Jennifer,Williams,ABC9839625,troylowery@example.org,1947-12-31,F,State1,Constituency1,+912074744225,"60530 Rose Turnpike Suite 723 Melissachester, KY 49355",Morenochester,87830
Chase,Peterson,ABC5017746,michellelivingston@example.net,1973-08-23,M,State1,Constituency1,+914219279328,"021 Torres Mission Baileyberg, MH 16041",New Kara,48466
Alfred,Lucas,ABC3302206,lbowman@example.org,1969-12-04,M,State1,Constituency1,+911618106698,"042 Dustin Isle Apt. 706 Jesusbury, MT 74064",Lake Rebeccamouth,49756
Johnathan,Collins,ABC9984301,ana72@example.com,1987-09-13,F,State1,Constituency1,+914632607747,"04489 Jones Causeway Apt. 422 West Laura, NJ 56589",North Brian,76117
David,Hall,ABC1062265,qmercer@example.org,1956-05-27,O,State1,Constituency1,+916270582264,"443 Hoffman Club Jacksonborough, FM 31222",Lake Walter,84761
Sean,Jacobson,ABC1857370,cford@example.com,1961-02-06,M,State1,Constituency1,+915661786427,"01464 Morgan Street Angelaberg, AK 41799",South Raymond,59994
Preston,Barber,ABC5755601,claudia67@example.com,1981-12-26,O,State1,Constituency1,+912008005869,"362 Carson Locks Port Elizabethtown, CA 76384",West Devinstad,33821
Robert,Andrews,ABC3254798,alejandrorobinson@example.net,2006-02-07,F,State1,Constituency1,+916913882712,"2323 Reyes Key West Melissafurt, WV 20587",Frankborough,91719
Chelsea,Rogers,ABC3721727,stevenguerrero@example.net,1973-09-19,M,State1,Constituency1,+918429608145,"14097 William Way New Alexandra, VI 18969",North Michaelshire,29939
Colleen,Bond,ABC6059664,alexa01@example.org,1953-04-23,M,State1,Constituency1,+915045939327,"0185 Graham Manors Apt. 971 Shepardside, TN 31923",Robertburgh,97416
